# Derived from google/mozc symbol.tsv, revision 9fbd649bea4c5e99cd8ad5e487213b26a953a376
# Copyright 2010-2018, Google Inc. All rights reserved.
# License: BSD-3-Clause; see THIRD_PARTY_LICENSES for full terms.
# azooKey porter version: 1
𛀗	か|へんたいがな	佳の変体仮名	350
𛀘	か|へんたいがな	加の変体仮名	349
𛀙	か|へんたいがな	可の変体仮名	348
𛀚	か|へんたいがな	可の変体仮名	347
𛀛	か|へんたいがな	嘉の変体仮名	346
𛀜	か|へんたいがな	我の変体仮名	345
𛀝	か|へんたいがな	歟の変体仮名	344
𛀞	か|へんたいがな	賀の変体仮名	343
𛀟	か|へんたいがな	閑の変体仮名	342
𛀠	か|へんたいがな	香の変体仮名	341
𛀡	か|へんたいがな	駕の変体仮名	340
𛀢	か|け|へんたいがな	家の変体仮名	339
𛀣	き|へんたいがな	喜の変体仮名	338
𛀤	き|へんたいがな	幾の変体仮名	337
𛀥	き|へんたいがな	幾の変体仮名	336
𛀦	き|へんたいがな	支の変体仮名	335
𛀧	き|へんたいがな	木の変体仮名	334
𛀨	き|へんたいがな	祈の変体仮名	333
𛀩	き|へんたいがな	貴の変体仮名	332
𛀪	き|へんたいがな	起の変体仮名	331
𛀫	く|へんたいがな	久の変体仮名	330
𛀬	く|へんたいがな	久の変体仮名	329
𛀭	く|へんたいがな	九の変体仮名	328
𛀮	く|へんたいがな	供の変体仮名	327
𛀯	く|へんたいがな	倶の変体仮名	326
𛀰	く|へんたいがな	具の変体仮名	325
𛀱	く|へんたいがな	求の変体仮名	324
𛀲	け|へんたいがな	介の変体仮名	323
𛀳	け|へんたいがな	介の変体仮名	322
𛀴	け|へんたいがな	希の変体仮名	321
𛀵	け|へんたいがな	氣の変体仮名	320
𛀶	け|へんたいがな	計の変体仮名	319
𛀷	け|へんたいがな	遣の変体仮名	318
𛀸	こ|へんたいがな	古の変体仮名	317
𛀹	こ|へんたいがな	故の変体仮名	316
𛀺	こ|へんたいがな	許の変体仮名	315
𛀻	き|こ|へんたいがな	期の変体仮名	314
𛀼	さ|へんたいがな	乍の変体仮名	313
𛀽	さ|へんたいがな	佐の変体仮名	312
𛀾	さ|へんたいがな	佐の変体仮名	311
𛀿	さ|へんたいがな	左の変体仮名	310
𛁀	さ|へんたいがな	差の変体仮名	309
𛁁	さ|へんたいがな	散の変体仮名	308
𛁂	さ|へんたいがな	斜の変体仮名	307
𛁃	さ|へんたいがな	沙の変体仮名	306
𛁄	し|へんたいがな	之の変体仮名	305
𛁅	し|へんたいがな	之の変体仮名	304
𛁆	し|へんたいがな	事の変体仮名	303
𛁇	し|へんたいがな	四の変体仮名	302
𛁈	し|へんたいがな	志の変体仮名	301
𛁉	し|へんたいがな	新の変体仮名	300
𛁊	す|へんたいがな	受の変体仮名	299
𛁋	す|へんたいがな	壽の変体仮名	298
𛁌	す|へんたいがな	數の変体仮名	297
𛁍	す|へんたいがな	數の変体仮名	296
𛁎	す|へんたいがな	春の変体仮名	295
𛁏	す|へんたいがな	春の変体仮名	294
𛁐	す|へんたいがな	須の変体仮名	293
𛁑	す|へんたいがな	須の変体仮名	292
𛁒	せ|へんたいがな	世の変体仮名	291
𛁓	せ|へんたいがな	世の変体仮名	290
𛁔	せ|へんたいがな	世の変体仮名	289
𛁕	せ|へんたいがな	勢の変体仮名	288
𛁖	せ|へんたいがな	聲の変体仮名	287
𛁗	そ|へんたいがな	所の変体仮名	286
𛁘	そ|へんたいがな	所の変体仮名	285
𛁙	そ|へんたいがな	曾の変体仮名	284
𛁚	そ|へんたいがな	曾の変体仮名	283
𛁛	そ|へんたいがな	楚の変体仮名	282
𛁜	そ|へんたいがな	蘇の変体仮名	281
𛁝	そ|へんたいがな	處の変体仮名	280
𛁞	た|へんたいがな	堂の変体仮名	279
𛁟	た|へんたいがな	多の変体仮名	278
𛁠	た|へんたいがな	多の変体仮名	277
𛁡	た|へんたいがな	當の変体仮名	276
𛁢	ち|へんたいがな	千の変体仮名	275
𛁣	ち|へんたいがな	地の変体仮名	274
𛁤	ち|へんたいがな	智の変体仮名	273
𛁥	ち|へんたいがな	知の変体仮名	272
𛁦	ち|へんたいがな	知の変体仮名	271
𛁧	ち|へんたいがな	致の変体仮名	270
𛁨	ち|へんたいがな	遲の変体仮名	269
𛁩	つ|へんたいがな	川の変体仮名	268
𛁪	つ|へんたいがな	川の変体仮名	267
𛁫	つ|へんたいがな	津の変体仮名	266
𛁬	つ|へんたいがな	都の変体仮名	265
𛁭	つ|と|へんたいがな	徒の変体仮名	264
𛁮	て|へんたいがな	亭の変体仮名	263
𛁯	て|へんたいがな	低の変体仮名	262
𛁰	て|へんたいがな	傳の変体仮名	261
𛁱	て|へんたいがな	天の変体仮名	260
𛁲	て|へんたいがな	天の変体仮名	259
𛁳	て|へんたいがな	天の変体仮名	258
𛁴	て|へんたいがな	帝の変体仮名	257
𛁵	て|へんたいがな	弖の変体仮名	256
𛁶	て|へんたいがな	轉の変体仮名	255
𛁷	と|へんたいがな	土の変体仮名	254
𛁸	と|へんたいがな	度の変体仮名	253
𛁹	と|へんたいがな	東の変体仮名	252
𛁺	と|へんたいがな	登の変体仮名	251
𛁻	と|へんたいがな	登の変体仮名	250
𛁼	と|へんたいがな	砥の変体仮名	249
𛁽	と|へんたいがな|ら	等の変体仮名	248
𛁾	な|へんたいがな	南の変体仮名	247
𛁿	な|へんたいがな	名の変体仮名	246
𛂀	な|へんたいがな	奈の変体仮名	245
𛂁	な|へんたいがな	奈の変体仮名	244
𛂂	な|へんたいがな	奈の変体仮名	243
𛂃	な|へんたいがな	菜の変体仮名	242
𛂄	な|へんたいがな	那の変体仮名	241
𛂅	な|へんたいがな	那の変体仮名	240
𛂆	な|へんたいがな	難の変体仮名	239
𛂇	に|へんたいがな	丹の変体仮名	238
𛂈	に|へんたいがな	二の変体仮名	237
𛂉	に|へんたいがな	仁の変体仮名	236
𛂊	に|へんたいがな	兒の変体仮名	235
𛂋	に|へんたいがな	爾の変体仮名	234
𛂌	に|へんたいがな	爾の変体仮名	233
𛂍	に|へんたいがな	耳の変体仮名	232
𛂎	て|に|へんたいがな	而の変体仮名	231
𛂏	ぬ|へんたいがな	努の変体仮名	230
𛂐	ぬ|へんたいがな	奴の変体仮名	229
𛂑	ぬ|へんたいがな	怒の変体仮名	228
𛂒	ね|へんたいがな	年の変体仮名	227
𛂓	ね|へんたいがな	年の変体仮名	226
𛂔	ね|へんたいがな	年の変体仮名	225
𛂕	ね|へんたいがな	根の変体仮名	224
𛂖	ね|へんたいがな	熱の変体仮名	223
𛂗	ね|へんたいがな	禰の変体仮名	222
𛂘	こ|ね|へんたいがな	子の変体仮名	221
𛂙	の|へんたいがな	乃の変体仮名	220
𛂚	の|へんたいがな	濃の変体仮名	219
𛂛	の|へんたいがな	能の変体仮名	218
𛂜	の|へんたいがな	能の変体仮名	217
𛂝	の|へんたいがな	農の変体仮名	216
𛂞	は|へんたいがな	八の変体仮名	215
𛂟	は|へんたいがな	半の変体仮名	214
𛂠	は|へんたいがな	婆の変体仮名	213
𛂡	は|へんたいがな	波の変体仮名	212
𛂢	は|へんたいがな	盤の変体仮名	211
𛂣	は|へんたいがな	盤の変体仮名	210
𛂤	は|へんたいがな	破の変体仮名	209
𛂥	は|へんたいがな	者の変体仮名	208
𛂦	は|へんたいがな	者の変体仮名	207
𛂧	は|へんたいがな	葉の変体仮名	206
𛂨	は|へんたいがな	頗の変体仮名	205
𛂩	ひ|へんたいがな	悲の変体仮名	204
𛂪	ひ|へんたいがな	日の変体仮名	203
𛂫	ひ|へんたいがな	比の変体仮名	202
𛂬	ひ|へんたいがな	避の変体仮名	201
𛂭	ひ|へんたいがな	非の変体仮名	200
𛂮	ひ|へんたいがな	飛の変体仮名	199
𛂯	ひ|へんたいがな	飛の変体仮名	198
𛂰	ふ|へんたいがな	不の変体仮名	197
𛂱	ふ|へんたいがな	婦の変体仮名	196
𛂲	ふ|へんたいがな	布の変体仮名	195
𛂳	へ|へんたいがな	倍の変体仮名	194
𛂴	へ|へんたいがな	弊の変体仮名	193
𛂵	へ|へんたいがな	弊の変体仮名	192
𛂶	へ|へんたいがな	遍の変体仮名	191
𛂷	へ|へんたいがな	邊の変体仮名	190
𛂸	へ|へんたいがな	邊の変体仮名	189
𛂹	へ|へんたいがな	部の変体仮名	188
𛂺	へんたいがな|ほ	保の変体仮名	187
𛂻	へんたいがな|ほ	保の変体仮名	186
𛂼	へんたいがな|ほ	報の変体仮名	185
𛂽	へんたいがな|ほ	奉の変体仮名	184
𛂾	へんたいがな|ほ	寶の変体仮名	183
𛂿	へんたいがな|ほ	本の変体仮名	182
𛃀	へんたいがな|ほ	本の変体仮名	181
𛃁	へんたいがな|ほ	豐の変体仮名	180
𛃂	へんたいがな|ま	万の変体仮名	179
𛃃	へんたいがな|ま	末の変体仮名	178
𛃄	へんたいがな|ま	末の変体仮名	177
𛃅	へんたいがな|ま	滿の変体仮名	176
𛃆	へんたいがな|ま	滿の変体仮名	175
𛃇	へんたいがな|ま	萬の変体仮名	174
𛃈	へんたいがな|ま	麻の変体仮名	173
𛃉	へんたいがな|み	三の変体仮名	172
𛃊	へんたいがな|み	微の変体仮名	171
𛃋	へんたいがな|み	美の変体仮名	170
𛃌	へんたいがな|み	美の変体仮名	169
𛃍	へんたいがな|み	美の変体仮名	168
𛃎	へんたいがな|み	見の変体仮名	167
𛃏	へんたいがな|み	身の変体仮名	166
𛃐	へんたいがな|む	武の変体仮名	165
𛃑	へんたいがな|む	無の変体仮名	164
𛃒	へんたいがな|む	牟の変体仮名	163
𛃓	へんたいがな|む	舞の変体仮名	162
𛃔	へんたいがな|め	免の変体仮名	161
𛃕	へんたいがな|め	面の変体仮名	160
𛃖	へんたいがな|ま|め	馬の変体仮名	159
𛃗	へんたいがな|も	母の変体仮名	158
𛃘	へんたいがな|も	毛の変体仮名	157
𛃙	へんたいがな|も	毛の変体仮名	156
𛃚	へんたいがな|も	毛の変体仮名	155
𛃛	へんたいがな|も	茂の変体仮名	154
𛃜	へんたいがな|も	裳の変体仮名	153
𛃝	へんたいがな|や	也の変体仮名	152
𛃞	へんたいがな|や	也の変体仮名	151
𛃟	へんたいがな|や	屋の変体仮名	150
𛃠	へんたいがな|や	耶の変体仮名	149
𛃡	へんたいがな|や	耶の変体仮名	148
𛃢	へんたいがな|や|よ	夜の変体仮名	147
𛃣	へんたいがな|ゆ	游の変体仮名	146
𛃤	へんたいがな|ゆ	由の変体仮名	145
𛃥	へんたいがな|ゆ	由の変体仮名	144
𛃦	へんたいがな|ゆ	遊の変体仮名	143
𛃧	へんたいがな|よ	代の変体仮名	142
𛃨	へんたいがな|よ	余の変体仮名	141
𛃩	へんたいがな|よ	與の変体仮名	140
𛃪	へんたいがな|よ	與の変体仮名	139
𛃫	へんたいがな|よ	與の変体仮名	138
𛃬	へんたいがな|よ	餘の変体仮名	137
𛃭	へんたいがな|ら	羅の変体仮名	136
𛃮	へんたいがな|ら	良の変体仮名	135
𛃯	へんたいがな|ら	良の変体仮名	134
𛃰	へんたいがな|ら	良の変体仮名	133
𛃱	へんたいがな|り	利の変体仮名	132
𛃲	へんたいがな|り	利の変体仮名	131
𛃳	へんたいがな|り	李の変体仮名	130
𛃴	へんたいがな|り	梨の変体仮名	129
𛃵	へんたいがな|り	理の変体仮名	128
𛃶	へんたいがな|り	里の変体仮名	127
𛃷	へんたいがな|り	離の変体仮名	126
𛃸	へんたいがな|る	流の変体仮名	125
𛃹	へんたいがな|る	留の変体仮名	124
𛃺	へんたいがな|る	留の変体仮名	123
𛃻	へんたいがな|る	留の変体仮名	122
𛃼	へんたいがな|る	累の変体仮名	121
𛃽	へんたいがな|る	類の変体仮名	120
𛃾	へんたいがな|れ	禮の変体仮名	119
𛃿	へんたいがな|れ	禮の変体仮名	118
𛄀	へんたいがな|れ	連の変体仮名	117
𛄁	へんたいがな|れ	麗の変体仮名	116
𛄂	へんたいがな|ろ	呂の変体仮名	115
𛄃	へんたいがな|ろ	呂の変体仮名	114
𛄄	へんたいがな|ろ	婁の変体仮名	113
𛄅	へんたいがな|ろ	樓の変体仮名	112
𛄆	へんたいがな|ろ	路の変体仮名	111
𛄇	へんたいがな|ろ	露の変体仮名	110
𛄈	へんたいがな|わ	倭の変体仮名	109
𛄉	へんたいがな|わ	和の変体仮名	108
𛄊	へんたいがな|わ	和の変体仮名	107
𛄋	へんたいがな|わ	王の変体仮名	106
𛄌	へんたいがな|わ	王の変体仮名	105
𛄍	うぃ|へんたいがな|ゐ	井の変体仮名	104
𛄎	うぃ|へんたいがな|ゐ	井の変体仮名	103
𛄏	うぃ|へんたいがな|ゐ	居の変体仮名	102
𛄐	うぃ|へんたいがな|ゐ	爲の変体仮名	101
𛄑	うぃ|へんたいがな|ゐ	遺の変体仮名	100
𛄒	うぇ|へんたいがな|ゑ	惠の変体仮名	99
𛄓	うぇ|へんたいがな|ゑ	衞の変体仮名	98
𛄔	うぇ|へんたいがな|ゑ	衞の変体仮名	97
𛄕	うぇ|へんたいがな|ゑ	衞の変体仮名	96
𛄖	へんたいがな|を	乎の変体仮名	95
𛄗	へんたいがな|を	乎の変体仮名	94
𛄘	へんたいがな|を	尾の変体仮名	93
𛄙	へんたいがな|を	緒の変体仮名	92
𛄚	へんたいがな|を	越の変体仮名	91
𛄛	へんたいがな|を	遠の変体仮名	90
𛄜	へんたいがな|を	遠の変体仮名	89
𛄝	へんたいがな|む|も|ん	无の変体仮名	88
𛄞	へんたいがな|む|も|ん	无の変体仮名	87
𛄟	う|へんたいがな	汙の変体仮名	86
𛄠	い|へんたいがな	変体仮名	85
𛄡	いぇ|え|へんたいがな	変体仮名	84
𛄢	う|へんたいがな	汙の変体仮名	83
🀀	とん|ふうぱい|ふぉんぱい|まーじゃん|まーじゃんぱい	麻雀牌	1581
🀁	なん|ふうぱい|ふぉんぱい|まーじゃん|まーじゃんぱい	麻雀牌	1580
🀂	しゃー|ふうぱい|ふぉんぱい|まーじゃん|まーじゃんぱい	麻雀牌	1579
🀃	ふうぱい|ふぉんぱい|ぺい|ぺー|まーじゃん|まーじゃんぱい	麻雀牌	1578
🀄︎	さんげんぱい|ちゅん|ふぉんちゅん|ほんちゅん|ほんちゅー|まーじゃん|まーじゃんぱい	麻雀牌	1577
🀅	さんげんぱい|はつ|まーじゃん|まーじゃんぱい|りゅうふぁ|りゅーふぁ|りゅーふぁー	麻雀牌	1576
🀆	さんげんぱい|はく|ぱいぱん|まーじゃん|まーじゃんぱい	麻雀牌	1575
🀇	いーまん|いーわん|まんず|まーじゃん|まーじゃんぱい|わんず	麻雀牌	1574
🀈	まんず|まーじゃん|まーじゃんぱい|りゃんまん|りゃんわん|わんず	麻雀牌	1573
🀉	さんまん|さんわん|まんず|まーじゃん|まーじゃんぱい|わんず	麻雀牌	1572
🀊	すーまん|すーわん|まんず|まーじゃん|まーじゃんぱい|わんず	麻雀牌	1571
🀋	うーまん|うーわん|まんず|まーじゃん|まーじゃんぱい|わんず	麻雀牌	1570
🀌	まんず|まーじゃん|まーじゃんぱい|ろーまん|ろーわん|わんず	麻雀牌	1569
🀍	ちーまん|ちーわん|まんず|まーじゃん|まーじゃんぱい|わんず	麻雀牌	1568
🀎	ぱーまん|ぱーわん|まんず|まーじゃん|まーじゃんぱい|わんず	麻雀牌	1567
🀏	きゅうまん|きゅうわん|きゅーまん|きゅーわん|ちゅーまん|ちゅーわん|まんず|まーじゃん|まーじゃんぱい|わんず	麻雀牌	1566
🀐	いーそー|そーず|まーじゃん|まーじゃんぱい	麻雀牌	1565
🀑	そーず|まーじゃん|まーじゃんぱい|りゃんそー	麻雀牌	1564
🀒	さんそー|そーず|まーじゃん|まーじゃんぱい	麻雀牌	1563
🀓	すーそー|そーず|まーじゃん|まーじゃんぱい	麻雀牌	1562
🀔	うーそー|そーず|まーじゃん|まーじゃんぱい	麻雀牌	1561
🀕	そーず|まーじゃん|まーじゃんぱい|ろーそー	麻雀牌	1560
🀖	そーず|ちーそー|まーじゃん|まーじゃんぱい	麻雀牌	1559
🀗	そーず|ぱーそー|まーじゃん|まーじゃんぱい	麻雀牌	1558
🀘	きゅうそー|きゅーそー|そーず|ちゅーそー|まーじゃん|まーじゃんぱい	麻雀牌	1557
🀙	いーぴん|ぴんず|まーじゃん|まーじゃんぱい	麻雀牌	1556
🀚	ぴんず|まーじゃん|まーじゃんぱい|りゃんぴん	麻雀牌	1555
🀛	さんぴん|ぴんず|まーじゃん|まーじゃんぱい	麻雀牌	1554
🀜	すーぴん|ぴんず|まーじゃん|まーじゃんぱい	麻雀牌	1553
🀝	うーぴん|ぴんず|まーじゃん|まーじゃんぱい	麻雀牌	1552
🀞	ぴんず|まーじゃん|まーじゃんぱい|ろーぴん	麻雀牌	1551
🀟	ちーぴん|ぴんず|まーじゃん|まーじゃんぱい	麻雀牌	1550
🀠	ぱーぴん|ぴんず|まーじゃん|まーじゃんぱい	麻雀牌	1549
🀡	きゅうぴん|きゅーぴん|ちゅーぴん|ぴんず|まーじゃん|まーじゃんぱい	麻雀牌	1548
🀢	うめ|まーじゃん|まーじゃんぱい	麻雀牌	1547
🀣	まーじゃん|まーじゃんぱい|らん	麻雀牌	1546
🀤	たけ|まーじゃん|まーじゃんぱい	麻雀牌	1545
🀥	きく|まーじゃん|まーじゃんぱい	麻雀牌	1544
🀦	はる|まーじゃん|まーじゃんぱい	麻雀牌	1543
🀧	なつ|まーじゃん|まーじゃんぱい	麻雀牌	1542
🀨	あき|まーじゃん|まーじゃんぱい	麻雀牌	1541
🀩	ふゆ|まーじゃん|まーじゃんぱい	麻雀牌	1540
🀪	じょーかー|ぱいたー|まーじゃん|まーじゃんぱい	麻雀牌	1539
🀫	まーじゃん|まーじゃんうら|まーじゃんぱい	麻雀牌	1538
🂠	とらんぷ|とらんぷうら	トランプ	1537
🂡	すぺーどえーす|とらんぷ	トランプ	1536
🂢	とらんぷ	トランプ	1535
🂣	とらんぷ	トランプ	1534
🂤	とらんぷ	トランプ	1533
🂥	とらんぷ	トランプ	1532
🂦	とらんぷ	トランプ	1531
🂧	とらんぷ	トランプ	1530
🂨	とらんぷ	トランプ	1529
🂩	とらんぷ	トランプ	1528
🂪	とらんぷ	トランプ	1527
🂫	すぺーどじゃっく|とらんぷ	トランプ	1526
🂬	かばろ|すぺーどかばろ|すぺーどないと	トランプ	1525
🂭	すぺーどくいーん|とらんぷ	トランプ	1524
🂮	すぺーどきんぐ|とらんぷ	トランプ	1523
🂱	とらんぷ|はーとえーす	トランプ	1522
🂲	とらんぷ	トランプ	1521
🂳	とらんぷ	トランプ	1520
🂴	とらんぷ	トランプ	1519
🂵	とらんぷ	トランプ	1518
🂶	とらんぷ	トランプ	1517
🂷	とらんぷ	トランプ	1516
🂸	とらんぷ	トランプ	1515
🂹	とらんぷ	トランプ	1514
🂺	とらんぷ	トランプ	1513
🂻	とらんぷ|はーとじゃっく	トランプ	1512
🂼	かばろ|はーとかばろ|はーとないと	トランプ	1511
🂽	とらんぷ|はーとくいーん	トランプ	1510
🂾	とらんぷ|はーときんぐ	トランプ	1509
🃁	だいやえーす|とらんぷ	トランプ	1508
🃂	とらんぷ	トランプ	1507
🃃	とらんぷ	トランプ	1506
🃄	とらんぷ	トランプ	1505
🃅	とらんぷ	トランプ	1504
🃆	とらんぷ	トランプ	1503
🃇	とらんぷ	トランプ	1502
🃈	とらんぷ	トランプ	1501
🃉	とらんぷ	トランプ	1500
🃊	とらんぷ	トランプ	1499
🃋	だいやじゃっく|とらんぷ	トランプ	1498
🃌	かばろ|だいやないと|はーとかばろ	トランプ	1497
🃍	だいやくいーん|とらんぷ	トランプ	1496
🃎	だいやきんぐ|とらんぷ	トランプ	1495
🃑	くらぶえーす|とらんぷ	トランプ	1494
🃒	とらんぷ	トランプ	1493
🃓	とらんぷ	トランプ	1492
🃔	とらんぷ	トランプ	1491
🃕	とらんぷ	トランプ	1490
🃖	とらんぷ	トランプ	1489
🃗	とらんぷ	トランプ	1488
🃘	とらんぷ	トランプ	1487
🃙	とらんぷ	トランプ	1486
🃚	とらんぷ	トランプ	1485
🃛	くらぶじゃっく|とらんぷ	トランプ	1484
🃜	かばろ|くらぶかばろ|くらぶないと	トランプ	1483
🃝	くらぶくいーん|とらんぷ	トランプ	1482
🃞	くらぶきんぐ|とらんぷ	トランプ	1481
🄋	きごう|まるぜろ|まるれい	丸数字	751
🄌	きごう|まるぜろ|まるれい	丸数字	740
𠆢	ひとがしら|ひとやね|ぶしゅ	部首	675
𠮷	つちよし	吉の異体字	394
𤴔	ひき|ぶしゅ	部首	560
𦉰	あみがしら|あみめ|ぶしゅ|よんがしら	部首	529
𦍌	ひつじ|ひつじへん|ぶしゅ	部首	526
𦘒	ふでづくり|ぶしゅ	部首	517
𦥑	うす|ぶしゅ	部首	510
𧾷	あし|あしへん|ぶしゅ	部首	481
𩙿	しょくへん|ぶしゅ	部首	454
